name,gender,color,hair
andy samberg1,Male,White,brown
angelina jolie1,Female,White,brown
anna kendrick2,Female,White,brown
annabelle wallis2,Female,White,blonde
Antony-starr,Male,White,brown
benedict cumberbatch2,Male,White,brown
cate blanchett4,Female,White,blonde
chris hemsworth,Male,White,brown
Erin-moriarty,Female,White,blonde
hannah bonham carter1,Female,White,brown
jennifer aniston2,Female,White,blonde
jennifer lawrence6,Female,White,blonde
kate beckinsale1,Female,White,brown
Katie,Female,White,brown
lindsay lohan3,Female,White,blonde
louis tomlinson1,Male,White,brown
Meg-ryan,Female,White,blonde
Nicholas,Male,White,brown
Nicole,Female,White,blonde
Tom-cruise,Male,White,brown
tom hardy1,Male,White,brown
Val-klimer,Male,White,brown
